Insumo   ;Embalagem  ;Descricao  ;Quantidade ;Valor;Preco Medio;Ultimo Preco
692;UM        ;ESFIGMOMANOMETRO ANEROIDE COMPLETO ADULTO                                                 ;0;0;0;67,62
693;RL.       ;ESPARADRAPO IMPERMEAVEL 10CMX4,5M                                                         ;9834;78259,08;7,95801;7,95
696;UM        ;ESPECULO VAGINAL DESCARTAVEL TAMANHO MEDIO, GINECOLOGICO                                  ;1935;2225,25;1,15;1,15
697;UM        ;ESPECULO VAGINAL DESCARTAVEL TAMANHO GRANDE, GINECOLOGICO                                 ;0;0;0;1,07
698;UM        ;ESPECULO VAGINAL DESCARTAVEL TAMANHO PEQUENO, GINECOLOGICO                                ;0;0;0;1,07
701;UMA       ;ESPONJA HEMOSTATICA DE GELATINA TAM.(80X50X10MM) GEOFOAM    )                             ;0;0;0;70
708;UM        ;ESTETOSCOPIO CLINICO DUPLO RAPPAPORT NEO/ADULTO                                           ;167;9637,62;57,710299;42,09
710;UM        ;ESTETOSCOPIO CLINICO PEDIATRICO DUPLO                                                     ;177;3461,7;19,557627;19,56
749;CX.       ;FILME RADIOLOGICO 30 X 40 CAIXA COM 100 - DIGITAL                                         ;0;0;0;218,4
750;CX.       ;FILME RADIOLOGICO 35 X 35 CAIXA COM 100 - DIGITAL                                         ;0;0;0;230,63
751;CX.       ;FILME RADIOLOGICO 35 X 43 CAIXA COM 100 - DIGITAL                                         ;0;0;0;800
752;CX.       ;FILME RADIOLOGICO PARA MAMOGRAFIA 18 X 24 CX C/ 100FLS                                    ;0;0;0;0
753;CX.       ;FILME RADIOLOGICO 18 X 24 CAIXA COM 100                                                   ;0;0;0;0,61
754;CX.       ;FILME RADIOLOGICO 24 X 30 CAIXA COM 100                                                   ;0;0;0;119
755;UM        ;FILTRO HMEF INFANTIL.                                                                     ;1265;7590;6;6
756;UM        ;FILTRO HMEF ADULTO.                                                                       ;1195;5676,25;4,75;4,75
764;UM        ;FIO DE FIXACAO OSSEA INTERNA 1.0 X 300 MM TIPO KIRSCHNNER                                 ;0;0;0;11,7
766;UM        ;FIO DE FIXACAO OSSEA INTERNA 2.5 X 300 MM TIPO KIRSCHNNER                                 ;0;0;0;11,7
770;ENV.      ;FIO NYLON N.3-0 AG.3,0CM 3/8 TRIANGULAR.45CM                                              ;19128;35397,72;1,85057;13,92
772;ENV.      ;FIO POLIPROPILENO N.7-0 AG.1,3CM 3/8 CIRCULAR,COMP.75CM.                                  ;0;0;0;0
775;ENV.      ;FIO DE SUTURA DE SEDA 8-0 COM AGULHA 0,65CM 3/8 CIRCULAR, 45CM                            ;0;0;0;0,1
777;ENV.      ;FIO POLIPROPILENO N.6-0 AG.1,3CM 3/8 CIRCULAR,COMP.75CM.                                  ;0;0;0;0
781;ENV.      ;FIO POLIESTER ALGODAO(POLYCOT)N.3-0 AG.1,3CM 1/2 CIRCULAR,COMP.70CM.                      ;3;402;134;134
782;ENV.      ;FIO SEDA PRETO TRANCADO N.6-0 2AG 0,65CM ESPATULADA 3/8 COMP 45CM - OFTALMO.              ;720;14184;19,7;19,7
788;ENV.      ;FIO POLIESTER ALGODAO(POLYCOT)N.0 AG.3,1CM 3/8 CIRCULAR,COMP.70CM.                        ;0;0;0;4
790;ENV.      ;FIO DE SUTURA DE CATGUT CROMADO N.0 70CM FIO AG.1/2CIRC.CIL.6.5CM                         ;0;0;0;152,16
793;ENV.      ;PROTETOR AURICULAR TIPO CONCHA/ABAFADOR CONTRA RUIDOS                                     ;0;0;0;0
795;UM        ;FIO CATGUT CROMADO N.2-0 AG.2,5CM 1/2 CILINDRICA,COMP.75CM.                               ;4320;17107,2;3,96;3,96
799;ENV.      ;FIO POLIGLACTINA(VYCRIL)N.4-0 AG.2,0CM 1/2 CIRCULAR,COMP.70CM.                            ;0;0;0;0
802;ENV.      ;FIO CATGUT SIMPLES N.2-0 AG.4,0CM 1/2 CIRCULAR,COMP.75CM.                                 ;504;1975,68;3,92;3,92
803;ENV.      ;FIO CATGUT SIMPLES N.2-0 AG.3,0CM 3/8 CIRCULAR,70CM.                                      ;0;0;0;0
805;ENV.      ;FIO DE SUTURA DE CATGUT SIMPLES N.1 75CM FIO AG.1/2CIRC.CIL.3.0CM                         ;0;0;0;152,16
808;ENV.      ;FIO POLIGLACTINA(VYCRIL)N.2-0 AG.3,7CM 1/2 CIRCULAR,COMP.75CM.                            ;0;0;0;38,25
814;ENV.      ;FIO POLIGLACTINA(VYCRIL)N.0 AG.4,0CM 1/2 CIRCULAR,COMP.70CM.                              ;7699;73063,51;9,49;9,49
815;ENV.      ;FIO POLIGLACTINA(VYCRIL)N.1   AG 4,0CM 1/2 CIRCULAR,COMP.70CM.                            ;22808;148331;6,503463;6,52
820;ENV.      ;FIO POLIGLACTINA (VYCRIL) N.2-0 AG 2,6CM 1/2 CIRCULAR, COMP.70CM                          ;14074;88103,24;6,26;6,26
826;ENV.      ;FIO POLIGLACTINA(VYCRIL)N.3-0 AG.2,0CM 1/2 CIRCULAR PONTA CONICA, COMP.70CM.              ;0;0;0;17,35
827;ENV.      ;FIO DE SUTURA DE POLIGLACTINA N?3.0 70CM C/                 AGULHA 1/2 .2.6CM             ;0;0;0;0
830;ENV.      ;FIO POLIGLACTINA(VYCRIL)N.5-0 AG.1,7CM 1/2 CIRCULAR,COMP.70CM.                            ;0;0;0;13,53
831;ENV.      ;FIO DE SUTURA DE POLIGLACTINA 910 0 70CM AG.1/2 CILINDRICA  4,8CM 36 ENVELOPES            ;0;0;0;0
833;ENV.      ;FIO POLIPROPILENO N.2-0 AG.3,0CM 3/8 CIRCULAR CILINDRICA,COPM.75CM.                       ;936;1965,6;2,1;2,1
835;ENV.      ;FIO POLIPROPILENO N.2-0 AG.2,2CM 1/2 CIRCULAR,COMP.75CM.                                  ;0;0;0;4,27
836;ENV.      ;FIO POLIPROPILENO N.2-0 AG.2,5CM 1/2 CIRCULAR,COMP.75CM.                                  ;0;0;0;0
838;ENV.      ;FIO POLIPROPILENO N.3-0 AG.3,0CM 1/2 CIRC.75CM 2AG CARDIO                                 ;0;0;0;0,1
840;ENV.      ;FIO POLIPROPILENO N.4-0 AG.2,0CM 1/2 CIRCULAR,COMP.45CM.                                  ;0;0;0;0
843;ENV.      ;FIO DE SUTURA DE MONONYLON N.10 30CM FIO AG.3/8CIRC.CIL.0.65CM                            ;0;0;0;0
847;ENV.      ;FIO DE SUTURA DE MONONYLON N.0 45CM FIO AG.3/8CIRL.TRI.3.0CM                              ;0;0;0;0
849;ENV.      ;FIO POLIESTER ALGODAO N.3-0 S/AG,COMP.15X45CM                                             ;6878;14923,84;2,169793;3,04
850;ENV.      ;FIO DE SUTURA DE NYLON 6-0 COM AGULHA 2,0CM 3/8 CIRCULAR, 45CM                            ;0;0;0;0
854;UM        ;FIO GUIA (MANDRIL) PARA ENTUBACAO ENDOTRAQUEAL ADULTO 30CM                                ;0;0;0;32,58
855;ENV.      ;FIO DE SUTURA DE MONONYLON N.4 45CM FIO AG.3/8CIRC.TRI.2.4CM                              ;0;0;0;0
858;ENV.      ;FIO NYLON N.10-0 AG.0,55 1/2 CIRCULAR ESPATULADA,COMP.30CM.                               ;0;0;0;64
860;ENV.      ;FIO DE SUTURA DE MONONYLON N.3-0 COM AGULHA 3,0CM(30MM) 3/8 TRIANGULAR, 45CM              ;0;0;0;0
861;ENV.      ;FIO DE SUTURA DE MONONYLON N.4 45CM FIO AG.1/2CIRC.COR.1.5CM                              ;0;0;0;0
870;UM        ;FITA CARDIACA 0,3CM X 80CM ANATOMICA ALGODAO                                              ;1632;6789,12;4,16;4,16
884;UM        ;FIXADOR DE TUBO ORO-TRAQUEAL ADULTO                                                       ;0;0;0;17,63
886;UM        ;CURAT. ADESIVO P/FIXACAO DE CATETER E TUBO 3X4CM  NEONATAL                                ;1363;4908,39;3,601166;3,12
893;GL.       ;FIXADOR P/PROCESSADORA AUTOMATICA DE RAIOS-X,GALAO 38 LTS                                 ;0;0;0;173
894;GL.       ;FIXADOR PARA PROCESSADORA AUTOMATICA DE RAIOS-X INATIVO                                   ;0;0;0;140,99
904;UM        ;VALVULA REDUTORA P/REDE CANAL AR COMPRIMIDO                                               ;56;6859,68;122,494285;162
905;UM        ;VALVULA REDUTORA P/REDE CANAL DE OXIGENIO                                                 ;0;0;0;74,97
906;FR.       ;FORMALDEIDO - LIQUIDO INCOLOR, CONCENTRACAO DE 10%                                        ;0;0;0;0
923;UM        ;FRALDA DESCARTAVEL GERIATRICA TAM:M                                                       ;0;0;0;1,93
924;UM        ;FRALDA DESCARTAVEL ADULTO MEDIA (DE 45 A 70 KG)                                           ;0;0;0;1,93
926;UM        ;FRALDA DESCARTAVEL GERIATRICA EG                                                          ;69336;105390,72;1,52;1,52
